EmpID,PerformanceScore,EmpSatisfaction
10026,Exceeds,5
10084,Fully Meets,3
10196,Fully Meets,3
10088,Fully Meets,5
10069,Fully Meets,4
10002,Exceeds,5
10194,Fully Meets,3
10062,Fully Meets,4
10114,Fully Meets,3
10250,Fully Meets,5
10252,Fully Meets,4
10242,Fully Meets,3
10012,Exceeds,4
10265,Fully Meets,4
10066,Fully Meets,5
10061,Fully Meets,4
10023,Exceeds,3
10055,Fully Meets,5
10245,Fully Meets,4
10277,Fully Meets,4
10046,Fully Meets,3
10226,Fully Meets,3
10003,Exceeds,3
10294,Needs Improvement,3
10267,Fully Meets,5
10199,Fully Meets,5
10081,Fully Meets,4
10175,Fully Meets,3
10177,Fully Meets,4
10238,Fully Meets,2
10184,Fully Meets,3
10203,Fully Meets,5
10188,Fully Meets,5
10107,Fully Meets,4
10181,Fully Meets,5
10150,Fully Meets,3
10001,Exceeds,3
10085,Fully Meets,4
10115,Fully Meets,3
10082,Fully Meets,5
10040,Fully Meets,5
10067,Fully Meets,4
10108,Fully Meets,5
10210,Fully Meets,4
10154,Fully Meets,5
10200,Fully Meets,5
10240,Fully Meets,4
10168,Fully Meets,5
10220,Fully Meets,3
10275,Fully Meets,5
10269,Fully Meets,4
10029,Exceeds,4
10261,Fully Meets,5
10292,Needs Improvement,3
10282,Needs Improvement,2
10019,Exceeds,5
10094,Fully Meets,5
10193,Fully Meets,3
10132,Fully Meets,5
10083,Fully Meets,3
10099,Fully Meets,4
10212,Fully Meets,5
10056,Fully Meets,3
10143,Fully Meets,4
10311,Fully Meets,4
10070,Fully Meets,4
10155,Fully Meets,5
10306,PIP,3
10100,Fully Meets,5
10310,PIP,2
10197,Fully Meets,5
10276,Fully Meets,4
10304,PIP,1
10284,Needs Improvement,4
10207,Fully Meets,5
10133,Fully Meets,4
10028,Exceeds,5
10006,Exceeds,5
10105,Fully Meets,4
10211,Fully Meets,3
10064,Fully Meets,3
10247,Fully Meets,5
10235,Fully Meets,3
10299,PIP,1
10280,Needs Improvement,4
10296,Needs Improvement,3
10290,Needs Improvement,5
10263,Fully Meets,5
10136,Fully Meets,4
10189,Fully Meets,3
10308,PIP,5
10309,PIP,3
10049,Fully Meets,5
10093,Fully Meets,5
10163,Fully Meets,3
10305,PIP,5
10015,Exceeds,5
10080,Fully Meets,3
10258,Fully Meets,3
