Area Code,Difference Between Actual and Target Profit,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Line,Product Type,Product,Profit,Sales,State,Target Margin,Target Profit,Target Sales,Total Expenses,Type
303,-35,10/1/2012,503,71,Major Market,Central,46,1,Leaves,Herbal Tea,Lemon,-$5,122,Colorado,60,30,90,76,Decaf
970,-24,10/1/2012,405,71,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,$26,123,Colorado,60,50,90,45,Decaf
409,-22,10/1/2012,419,64,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,$28,107,Texas,60,50,90,36,Decaf
850,-15,10/1/2012,871,56,Major Market,East,10,1,Leaves,Tea,Darjeeling,$35,94,Florida,60,50,100,21,Regular
562,6,10/1/2012,650,110,Major Market,West,23,1,Leaves,Tea,Green Tea,$56,182,California,60,50,80,54,Regular
712,-29,10/1/2012,430,43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,$31,43,Iowa,60,60,60,12,Decaf
860,-29,10/1/2012,375,64,Small Market,East,15,1,Beans,Espresso,Decaf Espresso,$21,111,Connecticut,60,50,90,43,Decaf
918,-39,10/1/2012,859,39,Small Market,South,7,1,Beans,Coffee,Decaf Irish Cream,$21,66,Oklahoma,60,60,90,18,Decaf
775,-43,10/1/2012,1000,37,Small Market,West,9,1,Beans,Coffee,Decaf Irish Cream,$7,68,Nevada,60,50,90,30,Decaf
435,-23,10/1/2012,881,59,Small Market,West,11,1,Beans,Espresso,Decaf Espresso,$37,99,Utah,60,60,80,22,Decaf
603,-27,10/1/2012,310,71,Small Market,East,15,1,Beans,Coffee,Amaretto,$33,120,New Hampshire,60,60,90,38,Regular
603,-26,10/1/2012,447,69,Small Market,East,14,1,Beans,Coffee,Colombian,$24,114,New Hampshire,60,50,90,45,Regular
603,-37,10/1/2012,320,64,Small Market,East,41,1,Beans,Espresso,Caffe Mocha,-$7,109,New Hampshire,60,30,90,71,Regular
318,-9,10/1/2012,-762,84,Small Market,South,54,1,Beans,Espresso,Caffe Latte,$1,144,Louisiana,60,10,90,83,Regular
775,-32,10/1/2012,240,43,Small Market,West,12,1,Beans,Coffee,Colombian,-$2,77,Nevada,60,30,100,45,Regular
